sign,fold,n_words,init_p,init_sig,final_p,final_sig
*22,0,2713,0.996,0,1.0,0
*22,1,2713,0.999,0,1.0,0
*22,2,2712,0.98801,0,1.0,0
*22,3,2712,0.97303,0,1.0,0
*22,4,2712,1.0,0,1.0,0
*56,0,2713,0.01099,1,0.99001,0
*56,1,2713,0.001,1,1.0,0
*56,2,2712,0.001,1,1.0,0
*56,3,2712,0.001,1,0.998,0
*56,4,2712,0.002,1,1.0,0
*82,0,2713,1.0,0,0.15784,0
*82,1,2713,1.0,0,0.26873,0
*82,2,2712,1.0,0,0.12887,0
*82,3,2712,0.87213,0,0.17782,0
*82,4,2712,1.0,0,0.07093,0
A,0,2713,0.001,1,1.0,0
A,1,2713,0.001,1,1.0,0
A,2,2712,0.001,1,1.0,0
A,3,2712,0.001,1,1.0,0
A,4,2712,0.001,1,1.0,0
A2,0,2713,0.96503,0,0.001,1
A2,1,2713,0.9001,0,0.004,1
A2,2,2712,0.93806,0,0.001,1
A2,3,2712,0.85614,0,0.004,1
A2,4,2712,0.97702,0,0.01499,1
A3,0,2713,0.001,1,1.0,0
A3,1,2713,0.001,1,1.0,0
A3,2,2712,0.001,1,1.0,0
A3,3,2712,0.001,1,1.0,0
A3,4,2712,0.001,1,1.0,0
AU,0,2713,0.001,1,1.0,0
AU,1,2713,0.001,1,1.0,0
AU,2,2712,0.001,1,1.0,0
AU,3,2712,0.001,1,1.0,0
AU,4,2712,0.001,1,1.0,0
DA,0,2713,0.001,1,1.0,0
DA,1,2713,0.004,1,1.0,0
DA,2,2712,0.001,1,1.0,0
DA,3,2712,0.001,1,1.0,0
DA,4,2712,0.001,1,1.0,0
DE,0,2713,1.0,0,0.001,1
DE,1,2713,1.0,0,0.001,1
DE,2,2712,1.0,0,0.001,1
DE,3,2712,1.0,0,0.001,1
DE,4,2712,1.0,0,0.001,1
DI,0,2713,0.001,1,1.0,0
DI,1,2713,0.001,1,1.0,0
DI,2,2712,0.001,1,1.0,0
DI,3,2712,0.002,1,1.0,0
DI,4,2712,0.002,1,1.0,0
DO,0,2713,0.001,1,1.0,0
DO,1,2713,0.001,1,1.0,0
DO,2,2712,0.001,1,1.0,0
DO,3,2712,0.001,1,1.0,0
DO,4,2712,0.001,1,1.0,0
DU,0,2713,0.30669,0,0.79321,0
DU,1,2713,0.12587,0,1.0,0
DU,2,2712,0.01698,1,1.0,0
DU,3,2712,0.48152,0,0.999,0
DU,4,2712,0.08591,0,1.0,0
E,0,2713,0.001,1,1.0,0
E,1,2713,0.001,1,1.0,0
E,2,2712,0.001,1,1.0,0
E,3,2712,0.001,1,1.0,0
E,4,2712,0.001,1,1.0,0
I,0,2713,0.01099,1,0.13586,0
I,1,2713,0.04296,1,0.9011,0
I,2,2712,0.002,1,0.73327,0
I,3,2712,0.09491,0,0.16983,0
I,4,2712,0.17383,0,0.85914,0
JA,0,2713,1.0,0,0.001,1
JA,1,2713,1.0,0,0.001,1
JA,2,2712,1.0,0,0.001,1
JA,3,2712,1.0,0,0.001,1
JA,4,2712,1.0,0,0.001,1
JE,0,2713,1.0,0,0.998,0
JE,1,2713,1.0,0,0.91808,0
JE,2,2712,1.0,0,0.94505,0
JE,3,2712,0.997,0,0.95105,0
JE,4,2712,1.0,0,0.94206,0
JO,0,2713,1.0,0,0.001,1
JO,1,2713,1.0,0,0.001,1
JO,2,2712,1.0,0,0.001,1
JO,3,2712,1.0,0,0.001,1
JO,4,2712,1.0,0,0.001,1
KA,0,2713,0.001,1,1.0,0
KA,1,2713,0.001,1,1.0,0
KA,2,2712,0.004,1,0.998,0
KA,3,2712,0.001,1,1.0,0
KA,4,2712,0.001,1,1.0,0
KE,0,2713,0.39461,0,1.0,0
KE,1,2713,1.0,0,1.0,0
KE,2,2712,0.5954,0,1.0,0
KE,3,2712,0.98601,0,1.0,0
KE,4,2712,0.97003,0,1.0,0
KI,0,2713,0.59041,0,1.0,0
KI,1,2713,0.06893,0,1.0,0
KI,2,2712,0.28472,0,1.0,0
KI,3,2712,0.61838,0,1.0,0
KI,4,2712,0.04895,1,1.0,0
KO,0,2713,0.001,1,1.0,0
KO,1,2713,0.001,1,1.0,0
KO,2,2712,0.001,1,1.0,0
KO,3,2712,0.001,1,1.0,0
KO,4,2712,0.001,1,1.0,0
KU,0,2713,0.001,1,1.0,0
KU,1,2713,0.001,1,1.0,0
KU,2,2712,0.001,1,1.0,0
KU,3,2712,0.001,1,1.0,0
KU,4,2712,0.001,1,1.0,0
MA,0,2713,0.19081,0,0.995,0
MA,1,2713,0.47852,0,1.0,0
MA,2,2712,0.01798,1,1.0,0
MA,3,2712,0.1978,0,1.0,0
MA,4,2712,0.003,1,1.0,0
ME,0,2713,0.001,1,1.0,0
ME,1,2713,0.001,1,1.0,0
ME,2,2712,0.001,1,1.0,0
ME,3,2712,0.00999,1,1.0,0
ME,4,2712,0.001,1,1.0,0
MI,0,2713,0.98801,0,1.0,0
MI,1,2713,0.98302,0,1.0,0
MI,2,2712,0.81319,0,1.0,0
MI,3,2712,0.98501,0,0.999,0
MI,4,2712,0.27073,0,1.0,0
MO,0,2713,1.0,0,0.001,1
MO,1,2713,1.0,0,0.001,1
MO,2,2712,1.0,0,0.001,1
MO,3,2712,1.0,0,0.001,1
MO,4,2712,1.0,0,0.001,1
MU,0,2713,0.1049,0,1.0,0
MU,1,2713,0.24575,0,0.91109,0
MU,2,2712,0.1978,0,0.98501,0
MU,3,2712,0.83816,0,0.97702,0
MU,4,2712,0.47952,0,1.0,0
NA,0,2713,1.0,0,0.001,1
NA,1,2713,1.0,0,0.08092,0
NA,2,2712,1.0,0,0.001,1
NA,3,2712,1.0,0,0.001,1
NA,4,2712,1.0,0,0.001,1
NE,0,2713,0.999,0,0.22178,0
NE,1,2713,0.78721,0,0.66334,0
NE,2,2712,0.39261,0,0.77223,0
NE,3,2712,0.995,0,0.27772,0
NE,4,2712,1.0,0,0.11788,0
NI,0,2713,1.0,0,1.0,0
NI,1,2713,1.0,0,1.0,0
NI,2,2712,1.0,0,1.0,0
NI,3,2712,1.0,0,1.0,0
NI,4,2712,1.0,0,1.0,0
NO,0,2713,1.0,0,0.001,1
NO,1,2713,1.0,0,0.001,1
NO,2,2712,1.0,0,0.001,1
NO,3,2712,1.0,0,0.001,1
NO,4,2712,1.0,0,0.001,1
NU,0,2713,1.0,0,0.86813,0
NU,1,2713,1.0,0,0.78222,0
NU,2,2712,0.99201,0,0.96004,0
NU,3,2712,0.999,0,0.96304,0
NU,4,2712,0.99201,0,0.98402,0
O,0,2713,0.001,1,1.0,0
O,1,2713,0.001,1,1.0,0
O,2,2712,0.001,1,0.996,0
O,3,2712,0.001,1,0.996,0
O,4,2712,0.001,1,0.998,0
PA,0,2713,0.001,1,1.0,0
PA,1,2713,0.001,1,1.0,0
PA,2,2712,0.001,1,1.0,0
PA,3,2712,0.001,1,1.0,0
PA,4,2712,0.001,1,1.0,0
PE,0,2713,0.001,1,1.0,0
PE,1,2713,0.001,1,1.0,0
PE,2,2712,0.001,1,1.0,0
PE,3,2712,0.001,1,1.0,0
PE,4,2712,0.001,1,1.0,0
PI,0,2713,0.99001,0,0.02098,1
PI,1,2713,0.55045,0,0.01998,1
PI,2,2712,0.997,0,0.08791,0
PI,3,2712,0.88012,0,0.11189,0
PI,4,2712,0.998,0,0.01798,1
PO,0,2713,0.001,1,1.0,0
PO,1,2713,0.001,1,1.0,0
PO,2,2712,0.001,1,1.0,0
PO,3,2712,0.001,1,1.0,0
PO,4,2712,0.001,1,1.0,0
PTE,0,2713,0.63437,0,0.91708,0
PTE,1,2713,0.04795,1,1.0,0
PTE,2,2712,0.93307,0,0.83816,0
PTE,3,2712,0.53047,0,0.997,0
PTE,4,2712,0.82817,0,0.83516,0
PU,0,2713,0.001,1,1.0,0
PU,1,2713,0.004,1,1.0,0
PU,2,2712,0.00899,1,1.0,0
PU,3,2712,0.001,1,1.0,0
PU,4,2712,0.001,1,1.0,0
PU2,0,2713,0.09391,0,0.98701,0
PU2,1,2713,0.30969,0,1.0,0
PU2,2,2712,0.94805,0,0.92507,0
PU2,3,2712,0.54545,0,1.0,0
PU2,4,2712,0.33167,0,1.0,0
QA,0,2713,0.001,1,1.0,0
QA,1,2713,0.01099,1,0.64935,0
QA,2,2712,0.00799,1,0.92008,0
QA,3,2712,0.001,1,0.999,0
QA,4,2712,0.001,1,1.0,0
QE,0,2713,0.94406,0,0.001,1
QE,1,2713,0.71029,0,0.001,1
QE,2,2712,0.75325,0,0.001,1
QE,3,2712,0.997,0,0.001,1
QE,4,2712,0.999,0,0.001,1
QI,0,2713,0.94006,0,0.93606,0
QI,1,2713,0.77822,0,1.0,0
QI,2,2712,0.93506,0,1.0,0
QI,3,2712,0.95305,0,1.0,0
QI,4,2712,0.77622,0,1.0,0
QO,0,2713,0.95504,0,0.8971,0
QO,1,2713,1.0,0,0.23976,0
QO,2,2712,1.0,0,0.4965,0
QO,3,2712,0.93606,0,0.68631,0
QO,4,2712,0.995,0,0.52448,0
RA,0,2713,1.0,0,0.97602,0
RA,1,2713,0.997,0,0.98601,0
RA,2,2712,0.996,0,0.77323,0
RA,3,2712,1.0,0,0.94605,0
RA,4,2712,1.0,0,0.94206,0
RA2,0,2713,1.0,0,0.05495,0
RA2,1,2713,1.0,0,0.02298,1
RA2,2,2712,1.0,0,0.31169,0
RA2,3,2712,1.0,0,0.12088,0
RA2,4,2712,1.0,0,0.70829,0
RE,0,2713,1.0,0,1.0,0
RE,1,2713,1.0,0,1.0,0
RE,2,2712,1.0,0,1.0,0
RE,3,2712,1.0,0,1.0,0
RE,4,2712,1.0,0,1.0,0
RI,0,2713,1.0,0,1.0,0
RI,1,2713,1.0,0,1.0,0
RI,2,2712,1.0,0,1.0,0
RI,3,2712,1.0,0,1.0,0
RI,4,2712,1.0,0,1.0,0
RO,0,2713,1.0,0,0.001,1
RO,1,2713,1.0,0,0.001,1
RO,2,2712,1.0,0,0.001,1
RO,3,2712,1.0,0,0.001,1
RO,4,2712,1.0,0,0.001,1
RO2,0,2713,1.0,0,0.00999,1
RO2,1,2713,1.0,0,0.20979,0
RO2,2,2712,1.0,0,0.04096,1
RO2,3,2712,1.0,0,0.42757,0
RO2,4,2712,1.0,0,0.04196,1
RU,0,2713,0.17782,0,1.0,0
RU,1,2713,0.8042,0,1.0,0
RU,2,2712,0.57243,0,1.0,0
RU,3,2712,0.22877,0,1.0,0
RU,4,2712,0.77622,0,1.0,0
SA,0,2713,0.53247,0,0.88611,0
SA,1,2713,0.18881,0,0.999,0
SA,2,2712,0.3956,0,0.98501,0
SA,3,2712,0.98601,0,0.92108,0
SA,4,2712,0.7962,0,0.96204,0
SE,0,2713,0.85115,0,0.98601,0
SE,1,2713,0.08192,0,0.96404,0
SE,2,2712,0.97602,0,0.77622,0
SE,3,2712,0.75724,0,0.85614,0
SE,4,2712,0.96404,0,0.95804,0
SI,0,2713,1.0,0,0.66533,0
SI,1,2713,1.0,0,0.48651,0
SI,2,2712,1.0,0,0.42158,0
SI,3,2712,1.0,0,0.82817,0
SI,4,2712,0.998,0,0.16883,0
SO,0,2713,1.0,0,0.001,1
SO,1,2713,1.0,0,0.001,1
SO,2,2712,1.0,0,0.005,1
SO,3,2712,1.0,0,0.001,1
SO,4,2712,1.0,0,0.001,1
SU,0,2713,0.00699,1,1.0,0
SU,1,2713,0.01399,1,1.0,0
SU,2,2712,0.001,1,1.0,0
SU,3,2712,0.002,1,1.0,0
SU,4,2712,0.00599,1,1.0,0
TA,0,2713,1.0,0,0.001,1
TA,1,2713,1.0,0,0.001,1
TA,2,2712,1.0,0,0.001,1
TA,3,2712,1.0,0,0.002,1
TA,4,2712,1.0,0,0.002,1
TE,0,2713,0.86314,0,0.54146,0
TE,1,2713,0.51548,0,0.95904,0
TE,2,2712,0.66034,0,0.72128,0
TE,3,2712,0.73127,0,0.99101,0
TE,4,2712,0.53347,0,0.98501,0
TI,0,2713,0.93506,0,1.0,0
TI,1,2713,0.997,0,1.0,0
TI,2,2712,0.95205,0,1.0,0
TI,3,2712,0.85614,0,1.0,0
TI,4,2712,0.98302,0,1.0,0
TO,0,2713,1.0,0,0.001,1
TO,1,2713,0.999,0,0.001,1
TO,2,2712,1.0,0,0.001,1
TO,3,2712,0.98202,0,0.001,1
TO,4,2712,0.98302,0,0.001,1
TU,0,2713,0.001,1,1.0,0
TU,1,2713,0.003,1,1.0,0
TU,2,2712,0.001,1,1.0,0
TU,3,2712,0.00699,1,1.0,0
TU,4,2712,0.001,1,1.0,0
U,0,2713,1.0,0,0.04296,1
U,1,2713,0.996,0,0.0969,0
U,2,2712,1.0,0,0.65734,0
U,3,2712,0.998,0,0.20579,0
U,4,2712,1.0,0,0.03796,1
WA,0,2713,1.0,0,0.004,1
WA,1,2713,1.0,0,0.001,1
WA,2,2712,0.999,0,0.01998,1
WA,3,2712,0.999,0,0.003,1
WA,4,2712,0.98402,0,0.00999,1
WE,0,2713,0.96703,0,0.001,1
WE,1,2713,0.9021,0,0.001,1
WE,2,2712,0.76324,0,0.001,1
WE,3,2712,0.995,0,0.001,1
WE,4,2712,1.0,0,0.001,1
WI,0,2713,0.88711,0,1.0,0
WI,1,2713,0.97103,0,1.0,0
WI,2,2712,0.8002,0,1.0,0
WI,3,2712,0.55345,0,1.0,0
WI,4,2712,0.13487,0,1.0,0
WO,0,2713,1.0,0,0.001,1
WO,1,2713,1.0,0,0.001,1
WO,2,2712,1.0,0,0.001,1
WO,3,2712,1.0,0,0.001,1
WO,4,2712,1.0,0,0.001,1
ZA,0,2713,0.96304,0,0.03596,1
ZA,1,2713,0.75325,0,0.04995,1
ZA,2,2712,0.58541,0,0.12887,0
ZA,3,2712,0.97103,0,0.58442,0
ZA,4,2712,0.73726,0,0.2038,0
ZE,0,2713,0.96903,0,0.69431,0
ZE,1,2713,0.87113,0,0.86214,0
ZE,2,2712,0.6004,0,0.92308,0
ZE,3,2712,0.22478,0,1.0,0
ZE,4,2712,0.67732,0,0.98002,0
ZO,0,2713,0.999,0,0.46254,0
ZO,1,2713,0.999,0,0.72028,0
ZO,2,2712,0.999,0,0.6034,0
ZO,3,2712,1.0,0,0.04995,1
ZO,4,2712,0.998,0,0.5974,0
