experiment_dir,basename,ext,canonical,classification
admin_schema,validate_human_submission.cpython-311.pyc,pyc,logos-admin-schema:experiments/admin_schema/src/annotation/__pycache__/validate_human_submission.cpython-311.pyc,IRRELEVANT_bytecode_cache
admin_schema,build_linear_b_graph.cpython-311.pyc,pyc,logos-admin-schema:experiments/admin_schema/src/corpus/__pycache__/build_linear_b_graph.cpython-311.pyc,IRRELEVANT_bytecode_cache
admin_schema,validate_admin_graph.cpython-311.pyc,pyc,logos-admin-schema:experiments/admin_schema/src/corpus/__pycache__/validate_admin_graph.cpython-311.pyc,IRRELEVANT_bytecode_cache
admin_schema,compute_pilot_stats.cpython-311.pyc,pyc,logos-admin-schema:experiments/admin_schema/src/pilot/__pycache__/compute_pilot_stats.cpython-311.pyc,IRRELEVANT_bytecode_cache
admin_schema,anon_key.json,json,logos-admin-schema:experiments/admin_schema/data/human_pilot/anon_key.json,SUBSUMED_PILOT_ARTIFACT (ADMIN-06 annotation-feasibility pilot inputs)
admin_schema,pilot_sample.jsonl,jsonl,logos-admin-schema:experiments/admin_schema/data/human_pilot/pilot_sample.jsonl,SUBSUMED_PILOT_ARTIFACT (ADMIN-06 annotation-feasibility pilot inputs)
admin_schema,annotator_A_packet.csv,csv,logos-admin-schema:experiments/admin_schema/data/human_pilot/annotator_A_packet.csv,SUBSUMED_PILOT_ARTIFACT (ADMIN-06 annotation-feasibility pilot inputs)
admin_schema,pilot_sample.csv,csv,logos-admin-schema:experiments/admin_schema/data/human_pilot/pilot_sample.csv,SUBSUMED_PILOT_ARTIFACT (ADMIN-06 annotation-feasibility pilot inputs)
admin_schema,annotator_B_packet.csv,csv,logos-admin-schema:experiments/admin_schema/data/human_pilot/annotator_B_packet.csv,SUBSUMED_PILOT_ARTIFACT (ADMIN-06 annotation-feasibility pilot inputs)
admin_schema,pilot_items.json,json,logos-admin-schema:experiments/admin_schema/data/evaluation_only/pilot_items.json,SUBSUMED_PILOT_ARTIFACT (ADMIN-06 annotation-feasibility pilot inputs)
admin_schema,pilot_annotations.json,json,logos-admin-schema:experiments/admin_schema/data/evaluation_only/pilot_annotations.json,SUBSUMED_PILOT_ARTIFACT (ADMIN-06 annotation-feasibility pilot inputs)
no_human_structure,lb_indexes.cpython-311.pyc,pyc,logos-no-human-structure:experiments/no_human_structure/src/source_labels/__pycache__/lb_indexes.cpython-311.pyc,IRRELEVANT_bytecode_cache
no_human_structure,labeling_functions.cpython-311.pyc,pyc,logos-no-human-structure:experiments/no_human_structure/src/weak_supervision/__pycache__/labeling_functions.cpython-311.pyc,IRRELEVANT_bytecode_cache
no_human_structure,linear_b_source_labels.jsonl,jsonl,logos-no-human-structure:experiments/no_human_structure/data/source_labels/linear_b_source_labels.jsonl,SUBSUMED_INPUT_DATA (feature/label manifest for a catalogued method)
external_anchors,nulllib.cpython-311.pyc,pyc,logos-external-anchors:experiments/external_anchors/src/nulls/__pycache__/nulllib.cpython-311.pyc,IRRELEVANT_bytecode_cache
external_anchors,degrade.cpython-311.pyc,pyc,logos-external-anchors:experiments/external_anchors/src/positive_control/__pycache__/degrade.cpython-311.pyc,IRRELEVANT_bytecode_cache
external_anchors,test_nulls_structure.cpython-311-pytest-9.0.2.pyc,pyc,logos-external-anchors:experiments/external_anchors/tests/__pycache__/test_nulls_structure.cpython-311-pytest-9.0.2.pyc,IRRELEVANT_bytecode_cache
external_anchors,test_slot_manifest_reproducibility.cpython-311-pytest-9.0.2.pyc,pyc,logos-external-anchors:experiments/external_anchors/tests/__pycache__/test_slot_manifest_reproducibility.cpython-311-pytest-9.0.2.pyc,IRRELEVANT_bytecode_cache
external_anchors,test_slot_classifier_rules.cpython-311-pytest-9.0.2.pyc,pyc,logos-external-anchors:experiments/external_anchors/tests/__pycache__/test_slot_classifier_rules.cpython-311-pytest-9.0.2.pyc,IRRELEVANT_bytecode_cache
external_anchors,test_positive_control_degrade.cpython-311-pytest-9.0.2.pyc,pyc,logos-external-anchors:experiments/external_anchors/tests/__pycache__/test_positive_control_degrade.cpython-311-pytest-9.0.2.pyc,IRRELEVANT_bytecode_cache
external_anchors,test_slot_classifier_leakage.cpython-311-pytest-9.0.2.pyc,pyc,logos-external-anchors:experiments/external_anchors/tests/__pycache__/test_slot_classifier_leakage.cpython-311-pytest-9.0.2.pyc,IRRELEVANT_bytecode_cache
external_anchors,frozen_power_envelope.json,json,logos-external-anchors:experiments/external_anchors/results/power/frozen_power_envelope.json,CANDIDATE_OMITTED_METHOD (external-anchors frozen power pass; P1 read stale la-lb-ritual copy)
external_anchors,toponym_power_envelope.json,json,logos-external-anchors:experiments/external_anchors/results/power/toponym_power_envelope.json,CANDIDATE_OMITTED_METHOD (external-anchors frozen power pass; P1 read stale la-lb-ritual copy)
external_anchors,linear_a_slot_features.jsonl,jsonl,logos-external-anchors:experiments/external_anchors/data/silver/linear_a_slot_features.jsonl,SUBSUMED_INPUT_DATA (feature/label manifest for a catalogued method)
external_anchors,slot_candidate_manifest.jsonl,jsonl,logos-external-anchors:experiments/external_anchors/data/gold/slot_candidate_manifest.jsonl,SUBSUMED_INPUT_DATA (feature/label manifest for a catalogued method)
external_anchors,wiener_bronze-age-trade.pdf,pdf,logos-external-anchors:experiments/external_anchors/data/bronze/pdf_local/wiener_bronze-age-trade.pdf,REFERENCE_SOURCE_not_a_method (acquired material)
external_anchors,mari_and_the_minoans_IMAGE.pdf,pdf,logos-external-anchors:experiments/external_anchors/data/bronze/pdf_local/mari_and_the_minoans_IMAGE.pdf,REFERENCE_SOURCE_not_a_method (acquired material)
external_anchors,kelder2018_egypt-crete-mycenae.pdf,pdf,logos-external-anchors:experiments/external_anchors/data/bronze/pdf_local/kelder2018_egypt-crete-mycenae.pdf,REFERENCE_SOURCE_not_a_method (acquired material)
external_anchors,kilani2019_vocalization-group-writing.pdf,pdf,logos-external-anchors:experiments/external_anchors/data/bronze/pdf_local/kilani2019_vocalization-group-writing.pdf,REFERENCE_SOURCE_not_a_method (acquired material)
external_anchors,hoch1994_semitic-words-in-egyptian-texts.pdf,pdf,logos-external-anchors:experiments/external_anchors/data/bronze/pdf_local/hoch1994_semitic-words-in-egyptian-texts.pdf,REFERENCE_SOURCE_not_a_method (acquired material)
external_anchors,malamat_literary-sources-mari.pdf,pdf,logos-external-anchors:experiments/external_anchors/data/bronze/pdf_local/malamat_literary-sources-mari.pdf,REFERENCE_SOURCE_not_a_method (acquired material)
external_anchors,mari_and_the_minoans_p342_OCR.txt,txt,logos-external-anchors:experiments/external_anchors/data/bronze/pdf_local/mari_and_the_minoans_p342_OCR.txt,NEEDS_REVIEW
external_anchors,hojen-sorensen2009_approaching-levantine-shores.pdf,pdf,logos-external-anchors:experiments/external_anchors/data/bronze/pdf_local/hojen-sorensen2009_approaching-levantine-shores.pdf,REFERENCE_SOURCE_not_a_method (acquired material)
external_anchors,cline-stannish2011_komelhetan-aegean-list.pdf,pdf,logos-external-anchors:experiments/external_anchors/data/bronze/pdf_local/cline-stannish2011_komelhetan-aegean-list.pdf,REFERENCE_SOURCE_not_a_method (acquired material)
external_anchors,dautais-gabolde_ea5647_jaei47.pdf,pdf,logos-external-anchors:experiments/external_anchors/data/bronze/pdf_local/dautais-gabolde_ea5647_jaei47.pdf,REFERENCE_SOURCE_not_a_method (acquired material)
external_anchors,watrous_ugarit-and-caphtor_gredos.pdf,pdf,logos-external-anchors:experiments/external_anchors/data/bronze/pdf_local/watrous_ugarit-and-caphtor_gredos.pdf,REFERENCE_SOURCE_not_a_method (acquired material)
external_anchors,salgarella2025_lecture.srt,srt,logos-external-anchors:experiments/external_anchors/data/bronze/pdf_local/salgarella2025_lecture.srt,REFERENCE_SOURCE_not_a_method (acquired material)
external_anchors,frozen_power_pass.py,py,logos-external-anchors:experiments/external_anchors/experiments/power/frozen_power_pass.py,CANDIDATE_OMITTED_METHOD (external-anchors frozen power pass; P1 read stale la-lb-ritual copy)
external_anchors,FROZEN_POWER_PASS.md,md,logos-external-anchors:experiments/external_anchors/reports/FROZEN_POWER_PASS.md,CANDIDATE_OMITTED_METHOD (external-anchors frozen power pass; P1 read stale la-lb-ritual copy)
la_lb_continuity,test_continuity_controls.cpython-311-pytest-9.0.2.pyc,pyc,logos-la-lb-continuity:experiments/la_lb_continuity/tests/__pycache__/test_continuity_controls.cpython-311-pytest-9.0.2.pyc,IRRELEVANT_bytecode_cache
la_lb_continuity,test_continuity_model.cpython-311-pytest-9.0.2.pyc,pyc,logos-la-lb-continuity:experiments/la_lb_continuity/tests/__pycache__/test_continuity_model.cpython-311-pytest-9.0.2.pyc,IRRELEVANT_bytecode_cache
la_lb_continuity,test_la_candidate_freeze.cpython-311-pytest-9.0.2.pyc,pyc,logos-la-lb-continuity:experiments/la_lb_continuity/tests/__pycache__/test_la_candidate_freeze.cpython-311-pytest-9.0.2.pyc,IRRELEVANT_bytecode_cache
la_lb_continuity,test_sigla_reconcile_crosswalk.cpython-311-pytest-9.0.2.pyc,pyc,logos-la-lb-continuity:experiments/la_lb_continuity/tests/__pycache__/test_sigla_reconcile_crosswalk.cpython-311-pytest-9.0.2.pyc,IRRELEVANT_bytecode_cache
la_lb_continuity,test_continuity_power.cpython-311-pytest-9.0.2.pyc,pyc,logos-la-lb-continuity:experiments/la_lb_continuity/tests/__pycache__/test_continuity_power.cpython-311-pytest-9.0.2.pyc,IRRELEVANT_bytecode_cache
la_lb_continuity,test_continuity_heldout.cpython-311-pytest-9.0.2.pyc,pyc,logos-la-lb-continuity:experiments/la_lb_continuity/tests/__pycache__/test_continuity_heldout.cpython-311-pytest-9.0.2.pyc,IRRELEVANT_bytecode_cache
la_lb_continuity,test_known_pairs.cpython-311-pytest-9.0.2.pyc,pyc,logos-la-lb-continuity:experiments/la_lb_continuity/tests/__pycache__/test_known_pairs.cpython-311-pytest-9.0.2.pyc,IRRELEVANT_bytecode_cache
la_lb_continuity,test_sigla_reconcile_normalization.cpython-311-pytest-9.0.2.pyc,pyc,logos-la-lb-continuity:experiments/la_lb_continuity/tests/__pycache__/test_sigla_reconcile_normalization.cpython-311-pytest-9.0.2.pyc,IRRELEVANT_bytecode_cache
la_lb_continuity,test_lb_target_independence.cpython-311-pytest-9.0.2.pyc,pyc,logos-la-lb-continuity:experiments/la_lb_continuity/tests/__pycache__/test_lb_target_independence.cpython-311-pytest-9.0.2.pyc,IRRELEVANT_bytecode_cache
la_lb_continuity,test_ab_equivalence_blindness.cpython-311-pytest-9.0.2.pyc,pyc,logos-la-lb-continuity:experiments/la_lb_continuity/tests/__pycache__/test_ab_equivalence_blindness.cpython-311-pytest-9.0.2.pyc,IRRELEVANT_bytecode_cache
la_lb_continuity,test_la_candidate_leakage.cpython-311-pytest-9.0.2.pyc,pyc,logos-la-lb-continuity:experiments/la_lb_continuity/tests/__pycache__/test_la_candidate_leakage.cpython-311-pytest-9.0.2.pyc,IRRELEVANT_bytecode_cache
la_lb_continuity,test_continuity_nulls.cpython-311-pytest-9.0.2.pyc,pyc,logos-la-lb-continuity:experiments/la_lb_continuity/tests/__pycache__/test_continuity_nulls.cpython-311-pytest-9.0.2.pyc,IRRELEVANT_bytecode_cache
la_lb_continuity,test_continuity_verdict.cpython-311-pytest-9.0.2.pyc,pyc,logos-la-lb-continuity:experiments/la_lb_continuity/tests/__pycache__/test_continuity_verdict.cpython-311-pytest-9.0.2.pyc,IRRELEVANT_bytecode_cache
la_lb_continuity,test_ab_equivalence_structure.cpython-311-pytest-9.0.2.pyc,pyc,logos-la-lb-continuity:experiments/la_lb_continuity/tests/__pycache__/test_ab_equivalence_structure.cpython-311-pytest-9.0.2.pyc,IRRELEVANT_bytecode_cache
la_lb_continuity,test_continuity_circularity.cpython-311-pytest-9.0.2.pyc,pyc,logos-la-lb-continuity:experiments/la_lb_continuity/tests/__pycache__/test_continuity_circularity.cpython-311-pytest-9.0.2.pyc,IRRELEVANT_bytecode_cache
la_lb_continuity,test_continuity_partitions.cpython-311-pytest-9.0.2.pyc,pyc,logos-la-lb-continuity:experiments/la_lb_continuity/tests/__pycache__/test_continuity_partitions.cpython-311-pytest-9.0.2.pyc,IRRELEVANT_bytecode_cache
la_lb_continuity,RECONCILE_SUMMARY.json,json,logos-la-lb-continuity:experiments/la_lb_continuity/data/RECONCILE_SUMMARY.json,SUBSUMED_RESULT_DATA (continuity method detail; P1 had summary not detail — numerical-trace gap)
la_lb_continuity,reconcile_detail.json,json,logos-la-lb-continuity:experiments/la_lb_continuity/data/reconcile_detail.json,SUBSUMED_RESULT_DATA (continuity method detail; P1 had summary not detail — numerical-trace gap)
la_lb_continuity,circularity.json,json,logos-la-lb-continuity:experiments/la_lb_continuity/data/results/circularity.json,SUBSUMED_RESULT_DATA (continuity method detail; P1 had summary not detail — numerical-trace gap)
la_lb_continuity,power.json,json,logos-la-lb-continuity:experiments/la_lb_continuity/data/results/power.json,SUBSUMED_RESULT_DATA (continuity method detail; P1 had summary not detail — numerical-trace gap)
la_lb_continuity,ablations.json,json,logos-la-lb-continuity:experiments/la_lb_continuity/data/results/ablations.json,SUBSUMED_RESULT_DATA (continuity method detail; P1 had summary not detail — numerical-trace gap)
la_lb_continuity,heldout.json,json,logos-la-lb-continuity:experiments/la_lb_continuity/data/results/heldout.json,SUBSUMED_RESULT_DATA (continuity method detail; P1 had summary not detail — numerical-trace gap)
la_lb_continuity,nulls.json,json,logos-la-lb-continuity:experiments/la_lb_continuity/data/results/nulls.json,SUBSUMED_RESULT_DATA (continuity method detail; P1 had summary not detail — numerical-trace gap)
la_lb_continuity,la_candidate_manifest.jsonl,jsonl,logos-la-lb-continuity:experiments/la_lb_continuity/data/gold/la_candidate_manifest.jsonl,SUBSUMED_INPUT_DATA (feature/label manifest for a catalogued method)
la_lb_continuity,config.cpython-311.pyc,pyc,logos-la-lb-continuity:experiments/la_lb_continuity/src/sigla_reconcile/__pycache__/config.cpython-311.pyc,IRRELEVANT_bytecode_cache
la_lb_continuity,reconcile.cpython-311.pyc,pyc,logos-la-lb-continuity:experiments/la_lb_continuity/src/sigla_reconcile/__pycache__/reconcile.cpython-311.pyc,IRRELEVANT_bytecode_cache
la_lb_continuity,build_la_candidates.cpython-311.pyc,pyc,logos-la-lb-continuity:experiments/la_lb_continuity/src/candidate_freeze/__pycache__/build_la_candidates.cpython-311.pyc,IRRELEVANT_bytecode_cache
la_lb_continuity,build_equivalence.cpython-311.pyc,pyc,logos-la-lb-continuity:experiments/la_lb_continuity/src/ab_equivalence/__pycache__/build_equivalence.cpython-311.pyc,IRRELEVANT_bytecode_cache
la_lb_continuity,build_lb_targets.cpython-311.pyc,pyc,logos-la-lb-continuity:experiments/la_lb_continuity/src/target_build/__pycache__/build_lb_targets.cpython-311.pyc,IRRELEVANT_bytecode_cache
la_lb_continuity,build_known_pairs.cpython-311.pyc,pyc,logos-la-lb-continuity:experiments/la_lb_continuity/src/known_pairs/__pycache__/build_known_pairs.cpython-311.pyc,IRRELEVANT_bytecode_cache
la_lb_continuity,partitions.cpython-311.pyc,pyc,logos-la-lb-continuity:experiments/la_lb_continuity/src/continuity/__pycache__/partitions.cpython-311.pyc,IRRELEVANT_bytecode_cache
la_lb_continuity,heldout.cpython-311.pyc,pyc,logos-la-lb-continuity:experiments/la_lb_continuity/src/continuity/__pycache__/heldout.cpython-311.pyc,IRRELEVANT_bytecode_cache
la_lb_continuity,circularity.cpython-311.pyc,pyc,logos-la-lb-continuity:experiments/la_lb_continuity/src/continuity/__pycache__/circularity.cpython-311.pyc,IRRELEVANT_bytecode_cache
la_lb_continuity,power.cpython-311.pyc,pyc,logos-la-lb-continuity:experiments/la_lb_continuity/src/continuity/__pycache__/power.cpython-311.pyc,IRRELEVANT_bytecode_cache
la_lb_continuity,nulls.cpython-311.pyc,pyc,logos-la-lb-continuity:experiments/la_lb_continuity/src/continuity/__pycache__/nulls.cpython-311.pyc,IRRELEVANT_bytecode_cache
la_lb_continuity,cfg.cpython-311.pyc,pyc,logos-la-lb-continuity:experiments/la_lb_continuity/src/continuity/__pycache__/cfg.cpython-311.pyc,IRRELEVANT_bytecode_cache
